,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
93,14,2013,41.149,0.446,4466248,36,0.454,23.1,3.717199625,-0.807436327,15.31205924,3.583518938,-0.789658081,3.139832618,,,,
94,14,2014,43.896,0.452,4646155,36,0.46,24.2,3.7818232,-0.794073099,15.35155055,3.583518938,-0.776528789,3.186352633,,,,
95,14,2015,44.758,0.45,4832681,37,0.473,25.5,3.8012702,-0.798507696,15.39091194,3.610917913,-0.74865989,3.238678452,,,,
96,14,2016,44.949,0.453,5026048,36,0.472,26.7,3.805528514,-0.791863153,15.43014455,3.583518938,-0.750776293,3.284663565,,,,
97,14,2017,46.718,0.457,5226419,39,0.472,28.1,3.844129529,-0.783071888,15.4692369,3.663561646,-0.750776293,3.335769576,,,,
98,14,2018,51.516,0.462,5433806,40,0.476,29.5,3.941892439,-0.772190388,15.50815037,3.688879454,-0.742337425,3.384390263,,,,
99,15,2012,7.133,0.641,255173,63,0.424,10.5,1.964731903,-0.444725822,12.44969703,4.143134726,-0.858021824,2.351375257,,,,
100,15,2013,7.895,0.644,263846,63,0.425,11.6,2.066229648,-0.440056553,12.48312088,4.143134726,-0.85566611,2.451005098,,,,
101,15,2014,8.275,0.65,272652,63,0.434,13.3,2.113238921,-0.430782916,12.51595154,4.143134726,-0.834710745,2.587764035,,,,
102,15,2015,8.317,0.658,281528,65,0.436,15.5,2.118301613,-0.418550348,12.54798719,4.17438727,-0.830113036,2.740840024,,,,
103,15,2016,8.535,0.666,290470,65,0.437,21,2.144175356,-0.406465608,12.57925558,4.17438727,-0.827822084,3.044522438,,,,
104,15,2017,9.489,0.671,299472,67,0.441,25.5,2.250133233,-0.398986142,12.6097762,4.204692619,-0.818710404,3.238678452,,,,
105,15,2018,9.844,0.673,308509,68,0.441,27.4,2.286862133,-0.396009949,12.6395063,4.219507705,-0.818710404,3.310543013,,,,
106,16,2012,104.092,0.601,6985733,34,0.644,79.8,4.645275123,-0.509160344,15.75938048,3.526360525,-0.440056553,4.379523504,,,,
107,16,2013,113.631,0.609,7137083,34,0.656,79.8,4.732956356,-0.495937011,15.78081471,3.526360525,-0.42159449,4.379523504,,,,
108,16,2014,122.955,0.617,7285464,34,0.66,87.1,4.811818435,-0.482886255,15.80139169,3.526360525,-0.415515444,4.467056884,,,,
